step,types,amount,oldbalanceorig,newbalanceorig,oldbalancedest,newbalancedest,isfraud,isflaggedfraud
278,1,286453.77,9904.0,0.0,0.0,286453.77,0,0
325,1,1445166.74,1445166.74,0.0,11066539.39,12511706.13,1,0
372,3,29380.57,249757.92,220377.35,0.0,0.0,0,0
164,1,541569.53,0.0,0.0,1827826.16,2369395.69,0,0
299,1,111431.54,0.0,0.0,2294721.58,2406153.12,0,0
323,4,334790.89,334790.89,0.0,0.0,0.0,1,0
257,1,20729.38,10045.0,0.0,0.0,20729.38,0,0
188,4,5777706.65,5777706.65,0.0,0.0,0.0,1,0
35,1,250683.54,1037.0,0.0,0.0,250683.54,0,0
373,1,24907.59,0.0,0.0,27304.85,52212.43,0,0
356,1,7360.15,7360.15,0.0,556439.41,563799.56,1,0
206,1,998110.47,998110.47,0.0,24296349.9,25294460.38,1,0
237,3,1367.81,21064.0,19696.19,0.0,0.0,0,0
180,1,159052.63,0.0,0.0,348701.22,507753.85,0,0
400,3,6822.03,0.0,0.0,0.0,0.0,0,0
660,1,14360.12,14360.12,0.0,8869218.72,8883578.84,1,0
240,4,806850.06,806850.06,0.0,0.0,0.0,1,0
235,3,8775.92,5602.0,0.0,0.0,0.0,0,0
36,3,22728.48,0.0,0.0,0.0,0.0,0,0
303,0,237781.91,21692770.54,21930552.45,457915.21,220133.29,0,0
134,1,258041.94,0.0,0.0,3893931.91,4151973.85,0,0
278,3,6880.57,0.0,0.0,0.0,0.0,0,0
683,1,73929.99,73929.99,0.0,1640832.48,1714762.47,1,0
480,4,146743.13,146743.13,0.0,0.0,0.0,1,0
355,1,39869.75,31586.0,0.0,0.0,39869.75,0,0
661,4,2140888.35,2140888.35,0.0,0.0,0.0,1,0
532,1,254719.63,254719.63,0.0,0.0,254719.63,1,0
232,3,7507.11,0.0,0.0,0.0,0.0,0,0
577,4,600618.37,0.0,0.0,10910648.39,11511266.76,0,0
546,3,9765.93,778610.63,768844.7,0.0,0.0,0,0
705,3,10096.91,49462.0,39365.09,0.0,0.0,0,0
351,1,172401.26,190.0,0.0,0.0,172401.26,0,0
135,3,8537.95,30361.55,21823.61,0.0,0.0,0,0
661,0,31567.12,3293002.9,3324570.03,275865.26,244298.13,0,0
281,0,62517.49,5128496.5,5191013.99,97110.27,34592.77,0,0
300,1,27496.85,0.0,0.0,1341033.52,1368530.36,0,0
436,4,59841.44,59841.44,0.0,0.0,0.0,1,0
187,0,116493.48,49511.0,166004.48,441752.21,222399.99,0,0
696,1,343972.5,343972.5,0.0,0.0,343972.5,1,0
305,0,139254.4,11868.0,151122.4,346012.68,206758.28,0,0
42,1,234650.38,11169.0,0.0,426501.41,661151.79,0,0
363,1,7703574.71,7703574.71,0.0,0.0,7703574.71,1,0
329,1,313768.84,9118.0,0.0,11173.41,324942.26,0,0
374,1,101439.21,45728.36,0.0,914635.57,1016074.78,0,0
107,1,204675.48,204675.48,0.0,109380.43,314055.91,1,0
286,3,5512.33,210375.0,204862.67,0.0,0.0,0,0
155,1,105383.65,0.0,0.0,2656631.7,2762015.35,0,0
251,0,48680.09,3738166.15,3786846.24,198639.59,149959.5,0,0
505,4,4553004.39,4553004.39,0.0,0.0,0.0,1,0
331,1,284295.23,1058.99,0.0,355616.7,639911.92,0,0
139,1,473060.03,49533.0,0.0,7051.0,480111.03,0,0
255,0,157678.75,10136.0,167814.75,6204645.43,6046966.69,0,0
15,3,6506.86,0.0,0.0,0.0,0.0,0,0
402,1,160066.42,0.0,0.0,476867.94,636934.35,0,0
407,3,1551.12,45095.0,43543.88,0.0,0.0,0,0
22,3,25300.32,0.0,0.0,0.0,0.0,0,0
14,3,4590.63,0.0,0.0,0.0,0.0,0,0
352,3,5178.38,2908.0,0.0,0.0,0.0,0,0
718,1,376639.05,376639.05,0.0,0.0,376639.05,1,0
211,1,97072.23,101680.78,4608.55,363123.26,460195.49,0,0
300,0,114262.65,210.0,114472.65,0.0,0.0,0,0
313,3,1591.62,0.0,0.0,0.0,0.0,0,0
370,0,102961.62,402.0,103363.62,26743.54,0.0,0,0
33,1,37972.65,0.0,0.0,1496473.32,2667410.71,0,0
15,1,19716.57,0.0,0.0,1022091.76,1041808.34,0,0
613,1,170486.7,170486.7,0.0,337632.83,508119.54,1,0
653,1,128440.4,128440.4,0.0,1424377.87,1552818.27,1,0
212,3,13078.87,0.0,0.0,0.0,0.0,0,0
360,4,230583.19,0.0,0.0,316345.77,546928.96,0,0
40,1,495338.13,513580.11,18241.98,2079599.84,2574937.97,0,0
19,3,11288.86,107262.84,95973.97,0.0,0.0,0,0
162,4,428679.3,100455.0,0.0,897688.3,1326367.6,0,0
139,3,5997.17,0.0,0.0,0.0,0.0,0,0
406,0,429041.71,1404910.4,1833952.11,6841822.14,6412780.43,0,0
206,1,42038.08,434482.0,392443.92,0.0,42038.08,0,0
326,3,15489.66,22403.0,6913.34,0.0,0.0,0,0
212,1,178168.9,0.0,0.0,514318.69,692487.59,0,0
228,1,497526.17,497526.17,0.0,0.0,497526.17,1,0
226,3,44939.79,20160.0,0.0,0.0,0.0,0,0
297,1,140846.64,12652.0,0.0,10874.24,151720.88,0,0
726,4,834495.09,834495.09,0.0,0.0,0.0,1,0
419,0,269827.87,176188.0,446015.87,1305775.32,1035947.45,0,0
15,3,9824.19,0.0,0.0,0.0,0.0,0,0
369,1,180318.36,107497.0,0.0,4013882.96,4194201.32,0,0
465,4,1760061.57,1760061.57,0.0,0.0,0.0,1,0
143,4,810599.16,810599.16,0.0,0.0,0.0,1,0
129,1,265449.43,1009.0,0.0,179937.25,445386.68,0,0
186,3,1993.43,0.0,0.0,0.0,0.0,0,0
185,3,2209.57,30621.0,28411.43,0.0,0.0,0,0
306,1,156433.09,0.0,0.0,6582943.48,6739376.57,0,0
19,3,1146.05,175000.0,173853.95,0.0,0.0,0,0
286,4,69886731.3,0.0,0.0,151538710.86,221425442.16,0,0
213,1,1835523.44,1835523.44,0.0,50844.44,1886367.88,1,0
210,0,121436.11,10289150.33,10410586.44,962327.38,840891.27,0,0
282,0,20898.5,4116647.15,4137545.64,982834.77,961936.28,0,0
302,1,248932.37,946.0,0.0,67357.84,316290.2,0,0
330,1,122095.14,11443.0,0.0,0.0,122095.14,0,0
212,0,393635.91,1604613.08,1998248.99,1030513.52,636877.6,0,0
394,1,91872.33,0.0,0.0,377103.97,468976.3,0,0
15,1,48073.47,5520.0,0.0,543797.28,591870.75,0,0
36,1,393962.59,0.0,0.0,579650.99,973613.58,0,0
235,0,399874.8,339566.0,739440.8,0.0,0.0,0,0
37,4,304596.11,0.0,0.0,1090466.78,1137287.05,0,0
300,1,794421.26,794421.26,0.0,23123.74,817545.0,1,0
9,0,109919.43,23343.0,133262.43,11587.0,0.0,0,0
557,4,3571807.73,3571807.73,0.0,0.0,0.0,1,0
234,0,203663.43,52018.0,255681.43,792771.07,589107.64,0,0
135,0,151578.33,15410.0,166988.33,3300823.76,3149245.43,0,0
186,3,31215.07,202.0,0.0,0.0,0.0,0,0
688,3,10951.12,72867.0,61915.88,0.0,0.0,0,0
134,1,114318.48,0.0,0.0,735719.16,850037.64,0,0
378,0,85946.41,71440.0,157386.41,321183.42,235237.01,0,0
260,3,10516.35,25161.0,14644.65,0.0,0.0,0,0
365,1,155799.82,155799.82,0.0,1605951.92,1761751.74,1,0
186,4,314427.21,0.0,0.0,535051.3,849478.51,0,0
255,0,456240.77,4321544.29,4777785.05,2602437.29,2146196.52,0,0
300,1,176059.16,176059.16,0.0,105783.21,281842.36,1,0
347,1,70426.57,0.0,0.0,334066.02,404492.59,0,0
273,0,141372.22,125075.0,266447.22,2008870.08,1867497.85,0,0
132,0,296269.32,4362239.93,4658509.25,410530.59,114261.27,0,0
326,0,358738.55,4733233.77,5091972.32,4321107.21,3984645.19,0,0
352,4,166456.54,166456.54,0.0,0.0,0.0,1,0
13,1,80091.97,219725.93,139633.96,57128.0,137219.97,0,0
258,1,154440.87,0.0,0.0,158064.0,0.0,0,0
256,4,1143692.21,0.0,0.0,5033145.25,6176837.46,0,0
717,1,394605.69,394605.69,0.0,0.0,394605.69,1,0
370,3,2091.99,40986.48,38894.5,0.0,0.0,0,0
187,3,8779.18,0.0,0.0,0.0,0.0,0,0
185,0,185558.5,7556330.41,7741888.91,880077.22,694518.72,0,0
34,4,27951.26,27951.26,0.0,0.0,0.0,1,0
332,0,254380.44,7742.0,262122.44,303629.71,49249.28,0,0
658,4,54583.71,54583.71,0.0,0.0,0.0,1,0
204,0,261211.96,3018723.31,3279935.27,1036510.45,775298.5,0,0
299,1,354301.9,84971.74,0.0,732496.64,1086798.54,0,0
184,3,2211.91,0.0,0.0,0.0,0.0,0,0
372,1,30059.48,877.0,0.0,0.0,30059.48,0,0
163,0,137898.36,7150518.3,7288416.66,3149028.15,3216639.06,0,0
135,3,38021.1,11129.0,0.0,0.0,0.0,0,0
205,4,216179.15,216179.15,0.0,0.0,0.0,1,0
671,4,61505.06,61505.06,0.0,0.0,0.0,1,0
649,0,99089.16,2570611.95,2669701.12,1091761.16,992671.99,0,0
126,4,938288.58,938288.58,0.0,0.0,0.0,1,0
141,3,11805.22,15.0,0.0,0.0,0.0,0,0
157,3,16108.81,0.0,0.0,0.0,0.0,0,0
660,4,227994.78,227994.78,0.0,0.0,0.0,1,0
402,3,28750.56,122830.0,94079.44,0.0,0.0,0,0
298,3,16990.35,1036.81,0.0,0.0,0.0,0,0
255,1,258826.74,469776.0,210949.26,0.0,258826.74,0,0
38,0,119160.79,21222827.35,21341988.14,2099888.07,1980727.28,0,0
397,1,98695.6,0.0,0.0,2285197.76,2383893.36,0,0
306,1,16767.15,21095.0,4327.85,5060571.68,5077338.83,0,0
690,1,203197.71,51924.0,0.0,27907.19,231104.9,0,0
395,1,4326.53,0.0,0.0,2930672.57,3015769.58,0,0
328,3,41602.57,114574.74,72972.17,0.0,0.0,0,0
625,1,10000000.0,10000000.0,0.0,2160858.93,12160858.93,1,0
325,1,27984.04,0.0,0.0,5109137.13,5137121.17,0,0
351,1,18981.73,54491.0,35509.27,221112.01,240093.74,0,0
276,0,12138.46,5777808.96,5789947.42,1008239.03,996100.57,0,0
190,1,10000000.0,10000000.0,0.0,2876.18,10002876.18,1,0
206,3,17253.68,0.0,0.0,0.0,0.0,0,0
345,3,16126.7,0.0,0.0,0.0,0.0,0,0
276,3,3708.48,0.0,0.0,0.0,0.0,0,0
85,1,4094.07,4094.07,0.0,296534.2,300628.27,1,0
283,1,99250.21,39525.36,0.0,100338.16,199588.37,0,0
135,3,10009.78,424456.22,414446.44,0.0,0.0,0,0
275,4,1436.38,1436.38,0.0,0.0,0.0,1,0
208,4,3864609.52,3864609.52,0.0,0.0,0.0,1,0
147,4,522343.83,522343.83,0.0,0.0,0.0,1,0
161,3,1953.16,0.0,0.0,0.0,0.0,0,0
235,1,218338.42,0.0,0.0,1088935.03,1307273.46,0,0
229,3,2343.42,0.0,0.0,0.0,0.0,0,0
282,1,1709224.02,1709224.02,0.0,58103.22,1767327.24,1,0
33,1,14874.57,0.0,0.0,308502.31,323376.88,0,0
205,1,292904.52,12088.0,0.0,964465.97,1257370.49,0,0
258,4,446505.95,0.0,0.0,1167351.32,1613857.27,0,0
377,4,489033.93,489033.93,0.0,0.0,0.0,1,0
148,4,99168.97,99168.97,0.0,0.0,0.0,1,0
179,0,253206.81,4630157.29,4883364.1,1647500.23,1394293.42,0,0
356,1,401949.25,0.0,0.0,435349.02,837298.27,0,0
724,1,501425.84,501425.84,0.0,0.0,501425.84,1,0
276,0,191253.08,2000.0,193253.08,2098476.99,1907223.91,0,0
266,3,13575.15,20057.0,6481.85,0.0,0.0,0,0
162,3,4965.71,0.0,0.0,0.0,0.0,0,0
571,1,1889351.63,1889351.63,0.0,12129494.24,14018845.86,1,0
275,3,15664.7,0.0,0.0,0.0,0.0,0,0
274,3,6888.02,35073.0,28184.98,0.0,0.0,0,0
380,1,103903.18,0.0,0.0,214492.29,318395.46,0,0
298,3,12288.03,0.0,0.0,0.0,0.0,0,0
134,4,2460110.25,2460110.25,0.0,0.0,0.0,1,0
629,4,7922.98,7922.98,0.0,0.0,0.0,1,0
93,4,3723738.06,3723738.06,0.0,0.0,0.0,1,0
135,0,15116.47,3510242.11,3525358.58,404178.93,389062.46,0,0
546,0,159799.21,293.0,160092.21,204527.73,44728.52,0,0
120,4,377919.58,377919.58,0.0,0.0,0.0,1,0
155,3,16509.13,2976.98,0.0,0.0,0.0,0,0
208,1,110254.67,0.0,0.0,1178356.43,1288611.1,0,0
135,3,9151.07,0.0,0.0,0.0,0.0,0,0
329,1,81778.5,0.0,0.0,11083862.66,11165641.16,0,0
328,1,230754.4,50739.0,0.0,649079.35,879833.74,0,0
251,3,80444.8,236.0,0.0,0.0,0.0,0,0
241,1,470956.59,470956.59,0.0,0.0,470956.59,1,0
141,1,49906.17,0.0,0.0,82202.35,132108.52,0,0
101,1,127905.82,127905.82,0.0,0.0,127905.82,1,0
16,1,121626.82,121626.82,0.0,653744.34,775371.16,1,0
166,1,54528.26,0.0,0.0,178934.44,233462.7,0,0
511,4,2491.85,2491.85,0.0,0.0,0.0,1,0
401,1,15464.68,7876.0,0.0,1793217.92,1808682.6,0,0
228,1,48757.41,0.0,0.0,137734.32,186491.73,0,0
399,1,176820.26,24063.0,0.0,270517.93,447338.19,0,0
355,3,3768.62,122215.29,118446.67,0.0,0.0,0,0
686,1,160088.68,160088.68,0.0,301078.64,461167.32,1,0
338,1,143340.15,143340.15,0.0,459383.83,602723.98,1,0
530,1,19576.96,19576.96,0.0,762608.82,782185.77,1,0
184,1,95504.16,55753.0,0.0,616691.11,712195.27,0,0
297,1,130478.17,75383.0,0.0,0.0,130478.17,0,0
379,3,4928.04,0.0,0.0,0.0,0.0,0,0
38,1,206944.35,0.0,0.0,2408841.45,2615785.8,0,0
332,3,10213.05,144767.0,134553.95,0.0,0.0,0,0
222,1,35759.12,35759.12,0.0,528553.38,564312.49,1,0
239,3,7544.14,99793.0,92248.86,0.0,0.0,0,0
44,3,49522.4,0.0,0.0,0.0,0.0,0,0
260,3,2677.82,0.0,0.0,0.0,0.0,0,0
465,4,461255.26,461255.26,0.0,0.0,0.0,1,0
329,4,3551022.86,3551022.86,0.0,0.0,0.0,1,0
676,4,327773.15,327773.15,0.0,0.0,0.0,1,0
64,4,841052.98,841052.98,0.0,0.0,0.0,1,0
15,4,820996.93,349959.01,0.0,6013280.02,6834276.95,0,0
71,4,304085.48,304085.48,0.0,0.0,0.0,1,0
324,3,50887.51,31125.0,0.0,0.0,0.0,0,0
253,4,157628.35,157628.35,0.0,0.0,0.0,1,0
40,0,125690.29,1304095.71,1429786.0,716261.49,590571.19,0,0
299,0,153780.97,1003.0,154783.97,964770.98,810990.01,0,0
162,1,45744.06,489.0,0.0,1128066.7,1173810.75,0,0
34,3,6909.31,85724.91,78815.61,0.0,0.0,0,0
15,0,53230.73,895081.62,948312.35,7015146.49,6961915.77,0,0
178,0,174632.17,5258461.11,5433093.28,301119.18,126487.01,0,0
307,0,136758.58,5949791.24,6086549.82,162870.77,26112.19,0,0
12,1,331151.41,0.0,0.0,3150831.4,3724351.33,0,0
254,1,6822.46,0.0,0.0,2592579.59,2599402.05,0,0
426,0,311993.51,9534.0,321527.51,0.0,0.0,0,0
132,3,36563.36,280278.96,243715.6,0.0,0.0,0,0
129,0,430236.77,30464.0,460700.77,0.0,0.0,0,0
578,4,118106.94,118106.94,0.0,0.0,0.0,1,0
352,1,4914.19,0.0,0.0,585382.52,590296.71,0,0
190,0,109539.87,605042.41,714582.28,2441989.46,2332449.59,0,0
356,0,179342.35,723406.72,902749.08,1990006.83,1810664.48,0,0
156,1,236444.3,0.0,0.0,884315.08,1120759.38,0,0
161,3,48006.29,199580.0,151573.71,0.0,0.0,0,0
202,1,235293.12,0.0,0.0,2281827.79,2517120.91,0,0
253,1,157628.35,157628.35,0.0,17051087.32,17208715.67,1,0
362,1,1936403.59,1936403.59,0.0,10709890.51,12646294.1,1,0
405,3,28962.25,0.0,0.0,0.0,0.0,0,0
640,4,46973.96,46973.96,0.0,0.0,0.0,1,0
282,4,49083.58,547677.0,498593.42,80737.76,129821.34,0,0
186,3,4.9,96062.26,96057.36,0.0,0.0,0,0
231,1,35962.37,0.0,0.0,422515.9,458478.27,0,0
159,3,5129.24,30310.0,25180.76,0.0,0.0,0,0
323,3,25376.23,35437.94,10061.71,0.0,0.0,0,0
563,1,182121.44,816.0,0.0,231738.3,413859.74,0,0
401,1,9949.77,0.0,0.0,68135.61,78085.38,0,0
18,1,205182.63,72346.01,0.0,549935.57,755118.2,0,0
18,1,11481.0,11481.0,0.0,761417.61,1765080.5,1,0
469,0,130087.03,9557.0,139644.03,0.0,0.0,0,0
37,0,73099.26,4586173.11,4659272.37,181569.07,108469.81,0,0
334,3,12203.05,0.0,0.0,0.0,0.0,0,0
382,0,174460.67,8473056.88,8647517.55,1181371.24,1006910.57,0,0
321,3,2482.29,136321.51,133839.22,0.0,0.0,0,0
132,3,9464.36,0.0,0.0,0.0,0.0,0,0
179,1,289945.02,0.0,0.0,8868357.26,9158302.28,0,0
20,1,159301.12,0.0,0.0,288156.98,447458.1,0,0
332,1,160642.88,467.0,0.0,58173.42,218816.3,0,0
510,1,177137.79,177137.79,0.0,496799.27,673937.06,1,0
485,1,3351304.78,3351304.78,0.0,299999.02,3651303.79,1,0
523,1,497928.97,497928.97,0.0,4112129.55,4610058.51,1,0
303,1,90084.26,0.0,0.0,5584325.1,5674409.36,0,0
378,3,4367.7,0.0,0.0,0.0,0.0,0,0
161,0,363102.15,6492593.16,6855695.31,2494620.78,2131518.63,0,0
327,1,117045.99,0.0,0.0,275646.11,392692.1,0,0
156,3,13966.28,49047.66,35081.38,0.0,0.0,0,0
543,1,74436.56,74436.56,0.0,201151.33,275587.89,1,0
166,1,320623.95,0.0,0.0,1116645.56,1437269.51,0,0
157,0,77623.43,45370.0,122993.43,0.0,0.0,0,0
591,1,906270.63,906270.63,0.0,221709.79,1127980.43,1,0
546,3,5607.14,0.0,0.0,0.0,0.0,0,0
306,3,10737.93,0.0,0.0,0.0,0.0,0,0
134,3,7490.68,10669.0,3178.32,0.0,0.0,0,0
228,0,3756.73,3392085.46,3395842.19,8233130.84,8229374.12,0,0
244,1,2468740.94,2468740.94,0.0,0.0,2468740.94,1,0
255,0,155901.69,2518.0,158419.69,0.0,0.0,0,0
132,1,402697.87,0.0,0.0,466145.3,868843.17,0,0
688,3,19740.17,0.0,0.0,0.0,0.0,0,0
34,1,145990.52,21291.0,0.0,2569997.55,2618347.59,0,0
570,1,17388.57,23257.0,5868.43,8442699.83,8460088.4,0,0
405,4,70756.72,70756.72,0.0,0.0,0.0,1,0
322,1,168317.37,34942.0,0.0,0.0,168317.37,0,0
277,1,70954.19,17194.0,0.0,283224.54,354178.73,0,0
230,4,1583252.34,20094.0,0.0,0.0,1583252.34,0,0
10,1,473334.46,15785.0,0.0,0.0,473334.46,0,0
664,4,5652739.69,5652739.69,0.0,0.0,0.0,1,0
45,4,445977.19,0.0,0.0,688173.65,1172665.55,0,0
207,3,26133.18,12834.0,0.0,0.0,0.0,0,0
204,1,217377.23,71.0,0.0,77918.49,295295.73,0,0
275,2,3903.77,0.0,0.0,92626.65,96530.41,0,0
164,3,11577.33,86156.0,74578.67,0.0,0.0,0,0
303,4,1133316.49,0.0,0.0,1747207.16,2880523.65,0,0
473,1,417620.07,417620.07,0.0,0.0,417620.07,1,0
226,1,29174.8,29174.8,0.0,4093.57,33268.36,1,0
206,3,5228.63,0.0,0.0,0.0,0.0,0,0
284,1,558050.49,558050.49,0.0,105134.97,810052.81,1,0
308,0,229412.67,25823.0,255235.67,16211.0,0.0,0,0
134,1,413641.17,21265.0,0.0,641938.75,1055579.92,0,0
198,1,18471.55,18471.55,0.0,0.0,18471.55,1,0
250,0,151767.49,1486.0,153253.49,103949.5,0.0,0,0
411,1,365069.45,365069.45,0.0,1033912.43,1398981.88,1,0
281,1,284484.08,6280.0,0.0,0.0,284484.08,0,0
330,0,64696.22,45624.0,110320.22,0.0,0.0,0,0
260,3,3111.89,30636.85,27524.96,0.0,0.0,0,0
356,4,805966.69,46772.0,0.0,1684576.61,2490543.31,0,0
256,1,374357.67,0.0,0.0,547105.31,921462.98,0,0
351,4,118111.77,118111.77,0.0,0.0,0.0,1,0
614,1,1760546.42,1760546.42,0.0,0.0,1760546.42,1,0
91,4,737285.03,737285.03,0.0,0.0,0.0,1,0
206,3,9269.23,11178.08,1908.85,0.0,0.0,0,0
662,1,1468304.35,1468304.35,0.0,0.0,1468304.35,1,0
306,3,23230.91,127291.87,104060.95,0.0,0.0,0,0
396,1,10573.74,2887.0,0.0,8798797.69,8809371.43,0,0
698,4,1242226.78,1242226.78,0.0,0.0,0.0,1,0
304,4,10000000.0,0.0,0.0,30070182.21,48512154.85,0,0
395,0,10535.64,6899442.14,6909977.78,102793.98,92258.35,0,0
9,0,195471.75,6883312.65,7078784.4,2130936.68,2874894.2,0,0
508,1,218350.42,218350.42,0.0,143135.63,361486.05,1,0
136,3,10046.33,122.0,0.0,0.0,0.0,0,0
207,1,263204.99,9509.0,0.0,625898.64,889103.63,0,0
281,1,142649.62,0.0,0.0,863955.25,1006604.87,0,0
570,1,3712.11,3712.11,0.0,185441.34,189153.45,1,0
263,1,127219.93,139453.0,12233.07,587868.2,715088.12,0,0
523,1,5999376.79,5999376.79,0.0,197460.17,6196836.96,1,0
372,1,216223.5,0.0,0.0,372452.19,588675.68,0,0
299,1,194610.42,5621.0,0.0,93543.55,288153.98,0,0
495,4,197943.1,197943.1,0.0,0.0,0.0,1,0
615,1,368973.39,368973.39,0.0,131867.63,500841.01,1,0
178,0,242839.0,2333649.61,2576488.61,1003820.48,1244833.84,0,0
370,3,25788.1,0.0,0.0,0.0,0.0,0,0
43,1,78495.9,0.0,0.0,199756.86,666541.78,0,0
706,1,934590.45,934590.45,0.0,981576.29,1916166.73,1,0
8,4,1078013.76,0.0,0.0,0.0,970749.68,1,0
572,1,262960.23,262960.23,0.0,0.0,262960.23,1,0
39,0,150986.97,15393.0,166379.97,151321.64,325057.03,0,0
257,3,13227.09,441537.18,428310.09,0.0,0.0,0,0
305,1,122955.29,49796.0,0.0,0.0,122955.29,0,0
236,0,57744.19,13624909.02,13682653.22,584305.11,526560.91,0,0
185,1,125089.86,0.0,0.0,368558.01,597132.97,0,0
118,1,167963.64,167963.64,0.0,0.0,167963.64,1,0
211,1,239159.97,0.0,0.0,502311.84,741471.81,0,0
13,1,255244.29,142111.08,0.0,2233748.11,2488992.4,0,0
398,1,146323.99,2244.0,0.0,0.0,146323.99,0,0
329,3,21850.94,0.0,0.0,0.0,0.0,0,0
73,4,12619.29,12619.29,0.0,0.0,0.0,1,0
48,1,337974.21,337974.21,0.0,0.0,337974.21,1,0
187,0,112045.22,45243.0,157288.22,283.0,0.0,0,0
404,1,526980.49,0.0,0.0,2709341.3,3236321.79,0,0
19,0,118136.18,0.0,118136.18,316883.01,198746.83,0,0
271,4,642364.74,642364.74,0.0,0.0,0.0,1,0
355,1,244060.94,0.0,0.0,9268676.94,9512737.88,0,0
283,3,1474.54,36133.0,34658.46,0.0,0.0,0,0
18,1,350671.07,10990.0,0.0,0.0,350671.07,0,0
298,4,1335840.12,57882.0,0.0,1723948.55,3059788.67,0,0
694,4,76582.23,76582.23,0.0,0.0,0.0,1,0
322,1,322886.03,7226.0,0.0,0.0,322886.03,0,0
17,1,140797.39,524385.22,383587.83,262361.25,438003.23,0,0
23,0,137623.21,2439684.69,2577307.9,3171763.41,3034140.21,0,0
396,0,88912.45,3336.0,92248.45,263233.0,174320.55,0,0
262,4,2016790.84,2016790.84,0.0,0.0,0.0,1,0
397,3,18724.86,0.0,0.0,0.0,0.0,0,0
298,4,448670.79,19803.0,0.0,292165.9,740836.7,0,0
347,4,231982.43,0.0,0.0,515521.36,747503.79,0,0
507,4,10000000.0,17239986.95,7239986.95,0.0,0.0,1,0
228,3,22541.63,0.0,0.0,0.0,0.0,0,0
256,1,190736.44,25170.0,0.0,190892.97,381629.41,0,0
274,3,175.41,4214.2,4038.79,0.0,0.0,0,0
131,1,66700.83,0.0,0.0,1060791.64,1127492.47,0,0
379,1,92113.28,0.0,0.0,10020563.08,10112676.35,0,0
